title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Fall Youth Basketball (Age 5-8) | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/fall-youth-basketball-ages-5-8;;4;6/4/2017 11:06;;;;;;;;;;;;;;;;;;;;;;;
Fixed Route Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;;3;6/11/2017 18:27;;;;;;;;;;;;;;;;;;;;;;;
WakeMed Soccer Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/wakemed-soccer-park;;1;6/14/2017 18:29;;;;;;;;;;;;;;;;;;;;;;;
All Things Development | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary;"""I am trying to find addressing standards";policy;"manual for subdivision development...not able to figure it out from web information...""";1;6/29/2017 8:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Fares and Ticket Information | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service/fares-and-ticket-information;"""Yes. I hope this is the most up to date information. A little concerned that the Door-to-Door rates are listed """"as of Jan. 27";"2015""""""";3;6/26/2017 10:12;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;"""Call to see who was my inspector";the message asks me to come to the web site;"but the link mentioned in the message is not available here...""";1;6/21/2017 7:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;"""It helps me with my family";friends;"and community. :]""";5;7/8/2017 13:17;Other Comments;;;;;;;;;;;;;;;;;;;;
Bond Park Boathouse Rentals | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-boathouse/bond-park-boathouse-rentals;The information is all there and you don't have to go far to find it;5;6/27/2017 13:48;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Discover Our Camps | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/discover-our-camps;;5;7/4/2017 16:44;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;1;6/25/2017 12:04;;;;;;;;;;;;;;;;;;;;;;;
Downtown Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/downtown-park;;5;6/24/2017 18:17;;;;;;;;;;;;;;;;;;;;;;;
Cary Tennis Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;5;7/7/2017 14:13;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar/-curm-7/-cury-2017;;5;7/4/2017 10:52;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Recycling Carts;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/recycling-carts;"""the link for """"what's accepted for curbside recycling"""" goes to a log-in page. I'm assuming this should lead to a PDF and not a login-secured site.""";1;3/3/2017 15:25;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Utility Customer Service;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;Need to disconnect service and doesn't look as though I can do so on this site.;3;3/19/2017 7:54;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar;Pls add info about the Wake Transit Mtg in Cary in late march to the GoCary page and maybe the calendar. Susan.;3;3/9/2017 13:18;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Fluoride in Drinking Water;http://www.townofcary.org/services-publications/water-sewer/water/water-treatment/fluoride-in-drinking-water;Could you not poison my water with fluoride?;1;2/28/2017 8:28;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : GoCary;http://www.townofcary.org/services-publications/transit/gocary;I was trying to find out how would you have to be to ride go Cary transit by yourself;2;3/8/2017 14:36;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;I want the phone number of the division to file for divorce;1;3/1/2017 12:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;5;3/14/2017 5:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : School's Out Camp Guide;http://www.townofcary.org/recreation-enjoyment/programs-classes/school-s-out-camp-guide;;5;3/7/2017 5:10;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Greenways;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways;;5;3/7/2017 17:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Alerts & Closures;http://www.townofcary.org/projects-initiatives/alerts-closures;;5;3/15/2017 12:10;;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;"""Hai";"I want to open a crafts stall in festival.. any one help you out of that ?""";5;7/8/2017 20:46;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Who's My Inspector | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/who-s-my-inspector;"""List says it is updated at 7am daily";"we'll it is 729am and the list has not been updated""";1;7/18/2017 7:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Mayor & Council | Town of Cary;http://www.townofcary.org/mayor-council;I searched Goddard School to find information about the Kildaire Farm Road site. Only results were old and irrelevant.;1;7/21/2017 10:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Affordable Senior Apartments in the Town of Cary | Town of Cary;http://www.townofcary.org/services-publications/housing/affordable-housing-initiative/affordable-senior-apartments-in-the-town-of-cary;;4;7/21/2017 23:05;;;;;;;;;;;;;;;;;;;;;;;
Fares and Ticket Information | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service/fares-and-ticket-information;;5;7/20/2017 23:22;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;1;7/18/2017 7:58;;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;1;7/19/2017 18:56;;;;;;;;;;;;;;;;;;;;;;;
Adult Sports | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/adult-sports;;2;7/17/2017 19:54;;;;;;;;;;;;;;;;;;;;;;;
Downtown | Town of Cary;http://www.townofcary.org/recreation-enjoyment/downtown;;4;7/8/2017 14:21;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;;5;7/16/2017 21:07;;;;;;;;;;;;;;;;;;;;;;;
Street Maintenance | Town of Cary;http://www.townofcary.org/projects-initiatives/street-maintenance;I'm seeing yellow streets and white streets. Neither of those colors are on your legend;1;5/17/2017 14:20;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;Yes I found my bill info. I like this new website.  It looks great and the little bit I did was easy to navigate .;5;5/1/2017 20:54;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;Unable to access navigation as everything is showing behind the big circle;1;5/3/2017 16:45;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;5/10/2017 10:24;;;;;;;;;;;;;;;;;;;;;;;
Jack Smith Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/jack-smith-park;;5;5/29/2017 21:00;;;;;;;;;;;;;;;;;;;;;;;
Starlight Concert Series | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/concerts/starlight-concert-series;;5;5/18/2017 17:02;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Community Center;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center;;1;5/2/2017 15:38;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;1;6/1/2017 23:05;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar;;5;5/16/2017 10:36;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar;;4;5/27/2017 18:48;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/Calendar/Event/2594/199?backlist=%2frecreation-enjoyment%2ffacilities%2fcary-arts-center;Can I buy tickets for ballet at the center in advance?;5;12/21/2017 18:17;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;And hlp want go home ulc wany I nes my my adam larson  I mvf yo;5;1/1/2018 21:04;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/winter-youth-basketball-ages-9-18;Where is inclement weather?;3;1/6/2018 11:20;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/home;No.  Looking for link to wink cameras.;1;1/3/2018 22:50;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/live;;5;1/3/2018 23:07;;;;;;;;;;;;;;;;;;;;;;;
Door to Door Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service;"""I tried to send a message to door to door regarding a recent event regarding drop off and pick up.  Most medical buildings have two entrances";"front and read.  I was dropped off at the rear one and assumed I would be picked up there. The van went to the front.  I do enjoy the wonderful services of door to door so perhaps the drivers should know about this.  Thank you very much.   [REDACTED]""";1;9/22/2017 20:21;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;
Facilities & Venues | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities;"""All I want to know is do you offer a pottery class. You force me into a flip book to find that out. Can you provide a path to classes that does not require Flash or a Flip book? I would like to search for """"pottery"""" and get a valid response.  Maybe I am in the wrong site.""";1;9/19/2017 16:20;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Cary Arts Center | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center;Is there a comedy show this Saturday at 8pm? I saw it advertised for this location. What are the prices?;3;9/13/2017 6:10;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Bond Park Boathouse Rentals | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-boathouse/bond-park-boathouse-rentals;Help the hungry;1;9/28/2017 5:22;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Cary Dog Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;yes;5;10/10/2017 16:20;Other Comments;;;;;;;;;;;;;;;;;;;;;;
"""Bands";"Bites and Boats at Bond Park | Town of Cary""";http://www.townofcary.org/recreation-enjoyment/events/special-events/bands-bites-and-boats-at-bond-park;;5;9/24/2017 14:13;;;;;;;;;;;;;;;;;;;;;;
Downtown Chowdown | Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2991/1636?backlist=%2frecreation-enjoyment%2fevents;;3;10/1/2017 14:28;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;9/11/2017 10:22;;;;;;;;;;;;;;;;;;;;;;;
Tennis Tournaments and Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/tennis-tournaments-and-events;;5;9/12/2017 15:54;;;;;;;;;;;;;;;;;;;;;;;
Stormwater Projects | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/stormwater-projects;;3;9/20/2017 10:37;;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;"""I was trying to find out the times for taking old meds. to Police Station (28th.Oct.)";but couldn't.  I shall ring you later on.  Thank-you.  Regards;"Mrs.Taylor""";3;10/13/2017 7:30;Content/Function Requests;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/faq;"""I can't see if I have an active permit/s for hot tub installation. I used the online permits site and searched by address";"but found nothing. I know I have some permits in place because I just finished two major projects. [REDACTED]""";2;10/14/2017 13:51;Service Requests;;;;;;;;;;;;;;;;;;;;;
Water | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/water;How do I change my billing address? I will be temporarily moving out of town and need to have bills sent to the other address.;2;10/19/2017 20:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Testing -- gb;5;10/25/2017 16:31;;;;;;;;;;;;;;;;;;;;;;;
Building Permits Online | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;;4;10/30/2017 11:53;;;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;5;10/11/2017 8:21;;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;2;10/12/2017 17:32;;;;;;;;;;;;;;;;;;;;;;;
Town Manager's Office | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office;;1;10/18/2017 17:17;;;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;;5;10/26/2017 16:21;;;;;;;;;;;;;;;;;;;;;;;
Recreation & Enjoyment | Town of Cary;http://www.townofcary.org/recreation-enjoyment;;1;10/18/2017 10:42;;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;http://www.townofcary.org/services-publications/police/faq;It is impossible to easily find the form for a noise complaint for 3 large barking dogs that are left out unattended from 7:00 AM to 10:00 PM;2;8/12/2017 9:46;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Rates and Fees | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/rates-and-fees;Do I need to pay a fee to use the court after I have already paid to use the Ball Machine?;2;7/29/2017 17:10;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Auditions & Design Team Interviews | Town of Cary;http://www.townofcary.org/recreation-enjoyment/arts-culture/youth-theater/auditions-and-design-team-interviews;Auditions for Guys and Dolls?;1;7/28/2017 13:55;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Camp Information: Track-Out";Summer;"and School's Out | Town of Cary""";http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out;;4;7/26/2017 7:29;;;;;;;;;;;;;;;;;;;;;
Contact the Town | Town of Cary;http://www.townofcary.org/connect-engage/get-help;How can I find out about employment with the town?;3;8/10/2017 9:19;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2286/1636;[REDACTED];5;8/8/2017 0:12;Other Comments;;;;;;;;;;;;;;;;;;;;;;
